 The filters:27
  0 hltDoubleL2IsoTau20eta2p2::MYHLT
  1 hltDoubleL2Tau20eta2p2::MYHLT
  2 hltHpsDoublePFTau20::MYHLT
  3 hltHpsDoublePFTau20Track::MYHLT
  4 hltHpsDoublePFTau20TrackLooseChargedIso::MYHLT
  5 hltHpsDoublePFTau20TrackLooseChargedIsoAgainstMuon::MYHLT
  6 hltHpsDoublePFTau20TrackMediumChargedIso::MYHLT
  7 hltHpsDoublePFTau20TrackMediumChargedIsoAgainstMuon::MYHLT
  8 hltHpsDoublePFTau20TrackTightChargedIso::MYHLT
  9 hltHpsDoublePFTau20TrackTightChargedIsoAgainstMuon::MYHLT
  10 hltHpsPFTau50TrackPt1LooseChargedIsolationL1HLTMatched::MYHLT
  11 hltHpsPFTau50TrackPt1MediumChargedIsolationL1HLTMatched::MYHLT
  12 hltHpsPFTau50TrackPt1TightChargedIsolationL1HLTMatched::MYHLT
  13 hltHpsPFTauTrack::MYHLT
  14 hltL1VBFDiJetIsoTau::MYHLT
  15 hltL1VBFDiJetOR::MYHLT
  16 hltL2TauIsoFilter::MYHLT
  17 hltMatchedVBFIsoTauTwoPFJets2CrossCleanedFromDoubleLooseChargedIsoPFTauHPS20::MYHLT
  18 hltMatchedVBFIsoTauTwoPFJets2CrossCleanedFromDoubleMediumChargedIsoPFTauHPS20::MYHLT
  19 hltMatchedVBFIsoTauTwoPFJets2CrossCleanedFromDoubleTightChargedIsoPFTauHPS20::MYHLT
  20 hltMatchedVBFOnePFJet2CrossCleanedFromDoubleLooseChargedIsoPFTauHPS20::MYHLT
  21 hltMatchedVBFOnePFJet2CrossCleanedFromDoubleMediumChargedIsoPFTauHPS20::MYHLT
  22 hltMatchedVBFOnePFJet2CrossCleanedFromDoubleTightChargedIsoPFTauHPS20::MYHLT
  23 hltMatchedVBFTwoPFJets2CrossCleanedFromDoubleLooseChargedIsoPFTauHPS20::MYHLT
  24 hltMatchedVBFTwoPFJets2CrossCleanedFromDoubleMediumChargedIsoPFTauHPS20::MYHLT
  25 hltMatchedVBFTwoPFJets2CrossCleanedFromDoubleTightChargedIsoPFTauHPS20::MYHLT
  26 hltTauJet5::MYHLT
